model,context,split,n,acc,macro_f1,f1_unresolved
GPT-5.6 Sol agent,SENT,TEST,104,0.8942307692307693,0.874767378215654,0.9241379310344827
GPT-5.6 Sol agent,SENT,TEMPORAL,36,0.8611111111111112,0.8212512413108242,0.9056603773584906
GPT-5.6 Sol agent,SENT,COURT,46,0.8913043478260869,0.8689458689458689,0.9230769230769231
GPT-5.6 Sol agent,W256,TEST,104,0.9615384615384616,0.9580475998386446,0.9701492537313433
GPT-5.6 Sol agent,W256,TEMPORAL,36,0.9166666666666666,0.8991596638655461,0.9411764705882353
GPT-5.6 Sol agent,W256,COURT,46,0.9782608695652174,0.9756742464304601,0.9836065573770492
GPT-5.6 Sol agent,W1024,TEST,104,0.9615384615384616,0.9585326953748006,0.9696969696969697
GPT-5.6 Sol agent,W1024,TEMPORAL,36,0.9444444444444444,0.9345454545454546,0.96
GPT-5.6 Sol agent,W1024,COURT,46,0.9565217391304348,0.9505376344086022,0.967741935483871
GPT-5.6 Sol agent,W4096,TEST,104,0.9423076923076923,0.9362745098039216,0.9558823529411765
GPT-5.6 Sol agent,W4096,TEMPORAL,36,0.9444444444444444,0.9375,0.9583333333333334
GPT-5.6 Sol agent,W4096,COURT,46,0.9782608695652174,0.9756742464304601,0.9836065573770492
